SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe
534310016279633664,26.4936167256029,71.30695410266966,18.013905130491974,0.059670072,16.792055,3.7903528,1.0554227
535768655892065792,18.265571724599752,74.30828257212285,18.713644630714267,0.014529726,13.737329,2.4475107,1.0953009
535992921907074688,12.55318231734578,70.36185617919149,18.147053372058576,0.014336571,12.93493,2.0988102,1.0832286
536292538825409536,8.373391108309507,70.91114999934746,20.78808518433836,0.015691292,14.056446,2.6426258,1.1378931
538681880669776768,10.37646634434317,74.46969326090192,20.85065845372185,0.01183232,13.220957,2.5346937,1.2066585
540024624884241792,8.791751153790054,76.46524576062326,50.510391868446604,0.040806442,15.420662,4.093294,1.1641374
545023554500378496,37.15518637652337,70.00291631312082,24.974629467674845,0.069641374,16.87035,3.7492552,1.2146926
545341450798523776,35.76018244411188,71.1761412039904,26.768442432050456,0.013842344,8.697032,1.0700636,0.9470585
545367014444503296,38.445343724000615,71.15848556839201,44.10135009013201,0.016506333,13.809395,3.1490526,1.110459
548075382163689856,48.493570905391536,75.29879972917436,22.998926242928857,0.012960881,11.936494,2.1796284,1.029609
550301107233576320,65.49943035167864,75.13902554613937,51.414150392748944,0.018358596,11.111915,2.3639154,1.1946528
552380386801243264,82.62312538178239,77.88481419094967,25.581276498216024,0.017063998,12.929993,2.4780636,1.2722945
553639739931666048,88.69913089801679,80.09461278492257,45.0825853880881,0.014698354,13.514499,3.1532898,1.2386237
556301382703918976,69.1632727160582,79.11874088945305,17.21392146694159,0.023815975,15.186008,3.0170126,1.0297074
562220844070080128,25.70739566224118,78.57575502195364,19.047657483899638,0.02056386,14.672051,2.6686249,1.1096891
564226215840955904,10.573014999886778,77.81828458679776,27.670050458504956,0.014027825,12.390228,2.3093119,1.2772185
565169459378433152,3.418168032647945,80.66661102105323,51.97771491425637,0.01565575,10.218442,2.1866322,1.1433004
566775227390650752,4.218649370092623,81.66353408267612,29.63729212565823,0.016492592,8.431366,1.0215178,0.8384074
571401697443640704,68.65985544309456,84.41571901322718,19.689511156811534,0.014985634,14.259863,2.5031013,1.118218
573642673940010112,0.9454892078970991,85.46325956464321,17.13640303673703,0.01550045,14.302381,2.713192,1.1951132
718340843695028096,135.14703682528253,36.152867716097525,18.82041806915696,0.016569827,13.249151,2.4466457,1.2301738
782870253423595136,162.0878224638977,44.856910694103014,17.63229147460252,0.025995897,14.509937,2.6314926,1.219109
786252145024226688,173.8741256516469,46.518465011985995,23.27856449368226,0.06309149,16.41321,3.5032597,1.1182083
790878129743771520,175.22803663907888,50.32549643670004,19.295657226583458,0.019136446,10.38881,1.4324703,1.2214861
791297254127958784,176.7650118992601,50.97132845785943,42.465780642683896,0.012703048,9.009053,1.544776,0.9714976
801454370748067456,145.06548522403477,40.29191687721773,23.14000589558276,0.14335297,17.610783,4.4660263,1.1076508
808270896163473920,149.83657630240822,43.83947827911241,36.722516603060804,0.028148375,12.854988,2.8237638,1.3086237
808875249601778816,152.966131439495,44.233144146709805,18.219246152622123,0.031576443,15.419368,2.7906294,1.0513082
811471054819228288,142.88669409613888,39.06059924755868,25.604529029176323,0.018157419,12.08657,2.2214746,1.3131323
812109085097489408,138.74028563804396,38.60966451869299,18.450210150754813,0.022977712,6.6570063,0.51878166,0.8599847
818154062587720960,143.93424539466386,44.99358623641289,19.963546734718985,0.025076382,14.392835,2.8304825,1.1894286
820181562029703296,146.53869644955267,44.503602672480035,18.276455301464434,0.015944641,12.26052,2.0737677,1.2924001
821574162225946880,147.51639579512403,46.487120461943455,17.127842139083317,0.018725177,12.750451,2.0872269,1.1627249
824134821727350272,152.4199655205393,50.81065123841999,20.041940640451546,0.026245348,15.303345,3.0108194,1.0101994
832801412895156224,165.9201245738734,49.68527793606364,17.876305972988604,0.038263153,15.421286,2.8741188,1.1467096
834467310450060544,156.67351870943835,48.08164249708562,20.752792060717624,0.02427342,8.180484,0.81154156,0.93231094
839513072389755648,171.71160505062485,52.41102544094442,19.41916724178489,0.030475989,15.506444,3.0279436,1.0619844
839868180285627008,171.6763231112332,53.71639743602077,19.460558231944784,0.014807805,9.882669,1.1579332,1.1249046
