sector,tmag_bin,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0,n_stars
4,8.0,141.817,115.588,107.109,104.375,103.908,103.778,104.273,103.182,103.354,104.781,105.095,105.167,106.208,106.091,104.935,951
4,8.5,165.119,133.289,122.078,116.888,116.997,116.643,117.258,116.868,116.738,118.306,120.8,120.814,121.138,122.858,122.703,1634
4,9.0,200.182,152.828,133.524,122.832,116.827,111.891,108.565,103.876,102.672,100.234,98.388,96.642,95.759,94.97,94.02,1838
4,9.5,246.984,185.654,160.794,145.998,136.551,129.876,124.726,117.182,114.576,110.634,106.629,103.576,101.427,99.963,98.34,2192
4,10.0,308.734,230.834,199.0,179.716,167.134,158.084,151.236,141.58,138.332,133.203,127.89,123.642,120.518,117.554,114.228,2686
4,10.5,395.762,295.168,252.427,227.369,212.186,200.32,191.066,178.419,173.554,166.012,157.982,152.918,148.441,144.997,141.478,2699
4,11.0,513.948,382.65,328.927,295.792,276.025,259.57,247.582,230.618,223.835,213.554,202.384,195.568,190.321,185.502,181.486,2078
4,11.5,678.434,502.959,433.343,390.825,363.558,343.158,326.945,304.142,295.536,281.906,267.88,257.24,248.152,240.289,232.959,1330
4,12.0,945.431,701.033,598.054,536.103,497.548,466.887,444.003,408.825,396.528,377.455,356.213,342.298,329.597,319.359,306.961,813
4,12.5,1382.769,1031.416,886.106,790.296,736.931,693.542,657.906,605.595,587.006,556.921,528.147,501.696,485.191,468.03,450.132,612
4,13.0,1975.749,1487.928,1274.911,1149.583,1068.461,1005.736,958.716,888.756,861.603,813.623,767.643,733.988,709.415,684.373,658.028,580
4,13.5,2793.876,2080.422,1778.879,1605.952,1499.121,1415.351,1349.326,1243.279,1203.906,1134.6,1064.791,1021.424,985.997,940.431,895.247,493
4,14.0,4101.649,3044.143,2597.634,2327.748,2161.688,2010.659,1917.108,1767.923,1712.238,1599.702,1485.856,1405.806,1351.446,1298.462,1239.29,310
4,14.5,5829.424,4295.299,3623.166,3273.511,3046.966,2842.41,2680.959,2436.603,2370.344,2227.426,2073.742,1948.784,1854.735,1729.788,1639.514,154
4,15.0,8872.063,6554.138,5621.371,4953.897,4480.094,4234.732,4064.354,3616.22,3470.699,3249.116,3012.468,2817.989,2664.384,2495.481,2314.356,86
4,15.5,13188.05,9452.043,7883.78,7006.688,6429.07,5975.075,5592.042,5085.443,4840.076,4526.396,4164.036,3897.915,3682.138,3384.879,3206.619,79
4,16.0,21161.936,15601.199,13188.254,11747.896,10930.799,10302.959,9800.932,8841.931,8531.454,7865.997,7145.305,6624.289,6222.368,5726.511,5316.24,47
4,16.5,29739.72,21608.209,18513.096,16303.366,14730.402,13497.963,12549.78,11173.894,10717.055,10142.38,9479.151,8904.248,8488.696,8005.716,7491.652,36
4,17.0,84636.711,64532.799,53041.35,46443.414,42093.75,38860.058,36400.49,32929.558,31657.408,29752.478,27878.28,26688.763,25446.611,23915.38,22281.938,26
4,17.5,103753.812,75610.133,63564.121,55974.215,52024.613,48214.398,45303.055,41043.727,39376.75,36671.414,33560.258,31215.688,29426.51,27638.227,26026.4,13
5,3.0,35.434,42.125,49.731,55.829,54.92,55.226,55.87,56.957,57.917,59.42,61.674,63.805,66.659,70.088,74.317,12
5,3.5,41.464,43.394,47.738,53.711,55.544,57.061,59.41,63.644,64.952,66.197,68.078,71.146,74.11,77.727,81.944,22
5,4.0,43.982,46.732,51.209,57.298,59.365,61.31,64.357,68.426,69.756,72.203,77.128,80.658,83.576,84.205,84.728,38
5,4.5,50.773,53.736,58.174,64.237,66.628,68.979,71.859,76.177,77.453,77.436,80.762,83.909,86.46,88.608,90.754,68
5,5.0,58.895,57.402,59.467,62.319,65.49,68.556,71.602,74.767,77.022,78.517,81.796,84.825,87.231,90.226,93.977,123
5,5.5,66.828,59.254,60.718,63.559,65.903,69.714,73.07,76.91,78.582,80.176,84.131,87.772,90.338,92.813,96.268,197
5,6.0,73.206,71.368,72.342,75.095,76.796,78.34,82.833,83.966,84.152,84.742,88.844,91.448,91.807,92.794,96.008,180
5,6.5,86.684,78.08,73.647,73.128,75.016,77.904,77.859,76.934,75.197,77.101,76.9,76.858,75.14,75.803,77.888,158
5,7.0,95.116,77.224,72.668,68.73,66.948,66.455,65.099,64.673,63.945,62.409,63.096,61.647,60.76,61.716,64.247,268
5,7.5,109.745,87.446,79.258,73.932,70.604,68.242,66.782,65.181,64.876,63.479,63.04,62.186,61.35,60.71,59.914,424
5,8.0,140.558,115.202,107.02,103.392,103.113,102.389,101.363,101.136,100.019,99.49,99.088,97.745,98.908,98.254,98.85,1087
5,8.5,162.126,130.912,120.009,114.208,111.895,110.531,109.097,108.477,108.27,107.74,107.888,107.436,107.804,108.449,109.485,1783
5,9.0,196.491,148.827,128.908,116.961,109.597,104.213,100.588,96.13,93.588,90.597,87.635,84.766,83.097,81.543,79.061,1939
5,9.5,245.829,182.72,154.968,139.054,128.415,120.237,114.258,105.053,101.577,96.36,91.053,87.346,84.847,82.862,81.135,2305
5,10.0,306.46,225.543,189.925,168.101,153.624,142.872,134.809,122.914,118.11,110.915,102.92,97.44,93.855,90.179,87.132,2520
5,10.5,391.632,286.296,239.692,211.579,191.727,177.685,166.929,151.174,145.524,136.077,126.267,119.072,114.083,108.876,104.058,2517
5,11.0,507.189,372.085,311.364,274.647,249.096,230.041,215.625,194.867,186.674,174.247,160.519,151.24,144.74,137.366,131.725,1913
5,11.5,676.08,493.978,413.808,364.62,331.519,307.474,289.19,261.46,249.825,232.384,214.966,200.92,191.367,181.618,173.093,1256
5,12.0,938.164,679.458,568.286,498.672,451.869,417.995,392.535,353.087,339.085,315.318,290.178,272.641,259.758,246.219,234.216,823
5,12.5,1363.82,1000.146,835.418,731.268,668.075,618.158,579.896,523.056,502.134,467.47,424.686,394.902,373.578,351.31,331.367,548
5,13.0,1952.004,1436.915,1194.256,1059.379,972.694,897.381,838.235,754.161,720.011,673.34,617.552,574.413,545.928,513.707,480.683,571
5,13.5,2790.567,2057.392,1724.407,1521.401,1384.139,1285.303,1201.801,1085.797,1043.462,972.083,883.336,821.979,779.206,726.477,677.942,441
5,14.0,4042.677,2996.7,2532.214,2235.178,2037.473,1889.858,1761.29,1583.419,1515.599,1395.642,1278.382,1181.207,1103.9,1047.762,982.27,344
5,14.5,6046.214,4483.842,3740.641,3301.004,2973.413,2756.248,2558.915,2262.3,2155.774,1988.996,1830.075,1695.703,1590.922,1485.428,1386.597,157
5,15.0,9734.414,7045.603,5807.688,5081.58,4564.992,4193.771,3902.231,3492.941,3317.532,3038.372,2743.233,2541.482,2388.544,2224.988,2074.661,81
5,15.5,14521.264,10505.023,8703.107,7603.888,6906.025,6389.208,5952.421,5286.948,5106.182,4689.973,4236.133,3880.023,3662.69,3373.436,3145.964,79
