pl_name,hostname,discoverymethod,disc_facility,tran_flag,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rade_reflink,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_bmasse_reflink,st_teff,st_rad,st_mass,st_lum,sy_dist
Kepler-147 c,Kepler-147,Transit,Kepler,1,61.287,3.407,-3.206,0,2.43,0.49,-0.49,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.48,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6012.0,1.468,1.145,0.42733,1042.02
Kepler-183 c,Kepler-183,Transit,Kepler,1,108.717,7.15,-6.655,0,2.27,0.98,-0.98,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,35.7,30.9,-24.2,0,Mass,<a refstr=HADDEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...80H/abstract target=ref> Hadden et al. 2014 </a>,5888.0,0.958,0.99,0.026,1050.64
Kepler-244 b,Kepler-244,Transit,Kepler,1,242.471,20.3,-18.478,0,2.76,1.16,-1.16,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,8.05,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5554.0,0.803,0.933,-0.25619,1036.49
Kepler-209 b,Kepler-209,Transit,Kepler,1,48.662,1.349,-1.302,0,2.26,0.34,-0.34,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.73,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5513.0,0.935,0.971,-0.12879,576.946
Kepler-127 b,Kepler-127,Transit,Kepler,1,159.163,3.689,-3.613,0,1.4,0.05,-0.05,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.54,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6106.0,1.359,1.248,0.40651,352.794
Kepler-403 c,Kepler-403,Transit,Kepler,1,45.154,1.88,-1.794,0,1.75,0.32,-0.32,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.71,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6090.0,1.329,1.299,0.64405,840.269
Kepler-376 b,Kepler-376,Transit,Kepler,1,689.912,29.579,-28.329,0,1.07,0.22,-0.22,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1.24,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5900.0,1.175,0.968,0.35663,923.067
Kepler-331 c,Kepler-331,Transit,Kepler,1,13.888,0.76,-0.716,0,1.84,0.19,-0.19,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.04,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,4347.0,0.492,0.653,-0.78358,580.119
Kepler-256 e,Kepler-256,Transit,Kepler,1,98.9,6.178,-5.774,0,2.35,0.58,-0.58,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.12,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5551.0,1.301,1.037,-0.0591,1026.43
Kepler-209 c,Kepler-209,Transit,Kepler,1,13.637,0.378,-0.365,0,3.1,0.51,-0.51,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,9.8,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5513.0,0.935,0.971,-0.12879,576.946
Kepler-229 d,Kepler-229,Transit,Kepler,1,6.162,0.478,-0.439,0,3.85,1.38,-1.38,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,14.2,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5120.0,0.728,0.808,-0.53795,826.265
Kepler-237 c,Kepler-237,Transit,Kepler,1,60.642,2.836,-2.686,0,2.08,1.1,-1.1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.98,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,4861.0,0.725,0.696,-0.47742,657.822
Kepler-383 c,Kepler-383,Transit,Kepler,1,6.44,0.82,-1.06,0,1.24,0.49,-0.49,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.07,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,4710.0,0.672,0.669,-0.698,470.0
Kepler-333 c,Kepler-333,Transit,Kepler,1,7.049,0.189,-0.184,0,1.11,0.2,-0.2,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1.41,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,4259.0,0.534,0.601,-0.92812,324.413
Kepler-334 d,Kepler-334,Transit,Kepler,1,39.475,0.954,-0.933,0,1.41,0.26,-0.26,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.57,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5828.0,1.068,1.022,0.05556,426.59
