kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_sma,koi_insol,koi_depth,koi_duration,koi_incl,koi_steff,koi_srad,koi_smass,koi_kepmag,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_delivname,dataspan,dutycycle,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0
3853673,K01197.01,FALSE POSITIVE,FALSE POSITIVE,0.643794198,19.51,0.0142,3852.91,456.7,1.5662,31.89,5958.0,0.83,0.917,15.103,4.400328,23.060286,53.7,2078.0,q1_q17_dr25_tce,1459.789,0.8754,301.535,264.57,247.137,226.827,214.138,192.773,183.273,169.103,153.721,141.425,130.991,122.828,120.012,108.233
3654719,K03081.01,FALSE POSITIVE,FALSE POSITIVE,25.9200092,1.28,0.1574,16.59,331.4,5.609,89.91,5517.0,0.704,0.788,15.406,5.416221,9.957283,10.9,41.0,q1_q17_dr25_tce,1459.789,0.6989,481.114,419.945,391.113,357.998,334.888,296.909,281.848,258.887,234.241,216.01,200.39,187.211,183.862,165.06
9180282,K05636.01,FALSE POSITIVE,FALSE POSITIVE,2.79123954,2.22,0.0425,2322.96,154.8,2.843,82.56,6407.0,1.668,1.311,13.116,4.22295,23.0751,25.3,481.0,q1_q17_dr25_tce,1459.789,0.875,125.181,119.823,121.735,121.848,124.545,128.517,130.649,136.428,142.521,143.01,141.315,139.54,139.061,135.23
3733628,K00387.01,CONFIRMED,CANDIDATE,13.89963233,2.46,0.098,17.37,1121.7,3.5791,87.8,4538.0,0.663,0.65,13.577,19.027977,116.682816,98.2,92.0,q1_q17_dr25_tce,1459.789,0.8751,105.512,95.878,92.775,88.134,86.241,82.324,80.656,78.484,77.028,76.398,76.515,77.552,78.171,81.519
3749134,K01212.01,CONFIRMED,CANDIDATE,11.30123036,1.85,0.0988,124.42,277.1,4.022,89.69,5730.0,1.122,1.005,14.981,3.6112437,15.954517,18.5,117.0,q1_q17_dr25_tce,1459.789,0.8754,259.774,228.644,213.374,194.982,183.07,161.959,153.22,140.463,126.225,115.999,108.789,102.369,100.878,93.967
9146018,K00584.01,CONFIRMED,CANDIDATE,9.9267215,2.76,0.0888,98.34,725.5,3.8428,87.77,5475.0,0.982,0.947,14.129,11.500258,76.79727,97.3,134.0,q1_q17_dr25_tce,1459.789,0.8751,131.964,117.696,111.096,102.818,97.69,89.2,85.837,81.018,75.626,71.604,67.652,64.958,64.381,61.247
9146018,K00584.02,CONFIRMED,CANDIDATE,21.22349325,2.63,0.1474,35.69,582.9,4.9416,87.86,5475.0,0.982,0.947,14.129,11.055162,46.971317,60.2,62.0,q1_q17_dr25_tce,1459.789,0.8751,131.964,117.696,111.096,102.818,97.69,89.2,85.837,81.018,75.626,71.604,67.652,64.958,64.381,61.247
3644071,K01192.02,FALSE POSITIVE,FALSE POSITIVE,359.047933,7.76,0.9511,1.08,5622.7,16.637,90.0,5609.0,1.048,0.889,14.215,134.10854,144.07951,91.1,4.0,q1_q17_dr25_tce,1459.789,0.8752,149.096,130.783,122.072,112.183,105.445,94.403,89.93,82.78,75.168,69.416,65.708,62.406,61.385,56.155
3644071,K01192.01,CANDIDATE,CANDIDATE,1295.362215,57.82,2.2372,0.19,8708.0,28.297,89.38,5609.0,1.048,0.889,14.215,,,164.0,,,1459.789,0.8752,149.096,130.783,122.072,112.183,105.445,94.403,89.93,82.78,75.168,69.416,65.708,62.406,61.385,56.155
9146018,K00584.03,CONFIRMED,CANDIDATE,6.47027706,1.15,0.0668,173.79,116.9,3.343,85.94,5475.0,0.982,0.947,14.129,3.9191983,14.906123,18.3,195.0,q1_q17_dr25_tce,1459.789,0.8751,131.964,117.696,111.096,102.818,97.69,89.2,85.837,81.018,75.626,71.604,67.652,64.958,64.381,61.247
